Database Of Medicine Prices,,,,,,,,,,,,,,,,,,,,,,
Applicants MCC Licence No ,Applicant Name,Product MCC Registration No ,Nappi Code,ATC 4,Schedule,Product Proprietary Name,Active Ingredients,Strength,Unit,Dosage Form,Pack Size,Quantity,Manufacturer Price,Logistics Fee,VAT,SEP,Unit Price,Effective Date,Status,,Originator or Generic,12 Months Volume of Sales
474,Key Oncologics (Pty) Ltd,A40/26/0352,713679001,L01DB,S4,"Doxorubicin ""Ebewe"" 10mg (5ml vial)",Doxorubicin,10,mg/5ml,SOL,1,,56,6,9,71,14,2009/11/27,,,,
474,Key Oncologics (Pty) Ltd,A40/26/0353,713680001,L01DB,S4,"Doxorubicin ""Ebewe"" 50mg  (25ml vial)",Doxorubicin,50,mg/25ml,SOL,1,,279,31,43,354,14,2009/11/27,,,,
544,PHARMACO Distribution (Pty) Ltd.,A39/3.2/0352,713683001,M09AX,S4,Suplasyn® (2 ml Pre-filled Syringe),Sodium Hyaluronate,20,mg/2ml,INJ,1,,304,16,45,365,365,2009/11/30,,,,
414,Allergan Pharmaceutical (Pty) Ltd,A40/15.4/0282,713372001,S01BC,S3,Acular 0.4% (5 ml Vial),Ketorolac tromethamine,20,mg/5ml,SOL,1,,121,8,18,147,29,2009/11/27,,,,
579,GlaxoSmithKline (Pty.) Ltd,A38/20.2.8/0379,713582001,J05AE,S4,Telzir® Oral Suspension,Fosamprenavir,50,mg/ml,SUS,225,,410,25,61,495,495,2009/12/01,,,,
665,Adcock Ingram Critical Care (Pty) Ltd,41.5.7.2/1080,712892001,A03FA,S4,Adco Granisetron 3 mg/3ml (3ml Amp),Granisetron Hydrochloride equivalent to Granisetron,5,mg/ml,INJ,5,,472,55,74,600,40,2009/11/27,,,,
665,Adcock Ingram Critical Care (Pty) Ltd,41/5.7.2/1079,712891001,A03FA,S4,Adco Granisetron 1 mg/1ml (1ml Amp),Granisetron Hydrochloride equivalent to Granisetron,5,mg/ml,INJ,5,,157,18,25,200,40,2009/11/27,,,,
665,Adcock Ingram Critical Care (Pty) Ltd,41.5.7.2/1080,712892002,A03FA,S4,Adco Granisetron 3 mg/3ml (3ml Amp),Granisetron Hydrochloride equivalent to Granisetron,5,mg/ml,INJ,1,,94,11,15,120,40,2009/11/27,,,,
665,Adcock Ingram Critical Care (Pty) Ltd,41/5.7.2/1079,712891002,A03FA,S4,Adco Granisetron 1 mg/1ml (1ml Amp),Granisetron Hydrochloride equivalent to Granisetron,5,mg/ml,INJ,1,,31,4,5,40,40,2009/11/27,,,,
666,Aspen Pharmacare Ltd,41/20.2.8/0988,713758001,J05AF,S4,Aspen abacavir,Abacavir,20,mg/ml,SOL,240,,194,29,31,254,1,2009/12/04,,,,
625,Specpharm (Pty) Ltd,35/30.1/0024,713048001,J07BC,S2,Euvax B (1ml vial),Purified HBs Antigen (KRTB) ,20,µg/ml,INJ,10,,538,44,81,664,66,2009/12/04,,,,
178,"Eli Lilly
","41/1.2/1030
",712786001,"N06AX
","S5
","Cymgen 60
","Duloxetine
",60,"mg
","CAP
",28,,286,19,43,347,12,2009/08/01,,,,
954,Hexal Pharma SA(Pty) Ltd,35/5.7.1/0354,702518007,R06AX,S2,Lorano,Loratadine,10,mg,TAB,30,,28,5,5,38,1,2009/12/04,,,,
178,Eli Lilly (SA)(Pty) Ltd,41/1.2/1029,713705001,N06AX,S5,Cymgen 30,Duloxetine,30,mg,CAP,28,,286,19,43,347,12,2009/12/04,,,,
573,Teva Pharmaceuticals (Pty) Ltd,30/2.10/0392,712607001,M03BX,S4,Teva Baclofen 10,Baclofen,10,mg,TAB,30,,105,9,16,130,4,2009/12/05,,,,
573,Teva Pharmaceuticals (Pty) Ltd,32/5.4.1/0081,710286001,N07BB,S4,Teva Carbi-Levo,Carbidopa,25,mg,TAB,100,,277,22,42,341,3,2009/12/05,,,,
573,Teva Pharmaceuticals (Pty) Ltd,32/5.4.1/0024,710468001,N07BB,S4,Teva Carbi-Levo 25/250,Carbidopa,25,mg,TAB,100,,379,31,57,467,5,2009/12/05,,,,
515,iThemba Labs,W/35/124,704153001,V09FX,S4,I-123 Sodium Iodide Capsule,I-123 Sodium Iodide,3,mCi,CAP,1,,916,666,93,1675,1675,2009/12/05,,,,
515,iThemba Labs,W/35/124,704154001,V09FX,S4,I-123 Sodium Iodide Capsule,I-123 Sodium Iodide,5,mCi,CAP,1,,1459,666,93,2218,2218,2009/12/05,,,,
515,iThemba Labs,W/35/124,704155001,V09FX,S4,I-123 Sodium Iodide Capsule,I-123 Sodium Iodide,9,mCi,CAP,1,,2546,666,93,3305,3305,2009/12/05,,,,
