Dtabase Of Medicine Prices 31st March 2010,,,,,,,,,,,,,,,,,,,,,
Applicants MCC Licence No,Applicant Name,Product MCC Registration No,Nappi Code,ATC 4 ,Schedule,Product Proprietary Name,Active Ingredients,Strength,Unit,Dosage Form,Pack Size,Quantity,Manufacturer Price,Logistics Fee,VAT,SEP,Unit Price,Effective Date,Status,Originator or Generic,12 Months Volume of Sales
0000000672,Cipla Medpro,37/10.2.1/0462,714287001,R01AX,S2,Ipvent respules (2ml vials),Ipratropium,1,mg,INH,60,,82.34,7.16,12.53,102.03,0.85,2010-03-25,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,C945,778265013,R06AE,S2,Vomifene,Buclizine,25,mg,TAB,100,,155.13,20.94,24.65,200.72,2.01,2009-02-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,A/18.5/26,778672018,J01MB,S4,Winlomylon ,Nalidixic acid,250,mg/5ml,SUS,100,,105.19,14.20,16.72,136.11,1.36,2009-02-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,P/4/170,778834018,N01BB,S4,Xylotox E80A 18ml ,Epinephrine,13,mg,INJ,100,,363.84,49.12,57.81,470.78,4.71,2009-02-15,,,
,,,,,,,Lidocaine,20,mg,,,,,,,,,,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,G2798 (OM),778818004,N01BB,S4,Xylotox L 18ml ,Lidocaine,20,mg,INJ,100,,355.08,47.94,56.42,459.43,4.59,2009-02-15,,,
,,,,,,,Norepinephrine,13,mg,,,,,,,,,,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,G2799 (OM),778826007,N01BB,S4,Xylotox SE 18ml,Lidocaine,20,mg/ml,INJ,100,,369.09,49.83,58.65,477.56,4.78,2009-02-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,35/15.4/0076,701256001,S01GX,S2,Zaditen,Ketotifen,0,mg/ml,OPD,5,,79.49,10.73,12.63,102.86,20.57,2009-02-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,34/20.1.1/0352,703697001,J01DC,S4,Zefroxe,Cefuroxime,250,mg,TAB,10,,70.43,9.51,11.19,91.13,9.11,2009-02-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,34/20.1.1/0353,703695001,J01DC,S4,Zefroxe,Cefuroxime,500,mg,TAB,10,,126.73,17.11,20.14,163.98,16.40,2009-02-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,32/10.2.2/0619,854905006,R06AX,S1,Zetofen,Ketotifen,1,mg/5ml,SYR,200,,46.27,6.25,7.35,59.86,0.30,2009-02-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,33/7.1.3/0513,862045002,C09AA,S3,Zetomax,Lisinopril,5,mg,TAB,30,,25.73,3.47,4.09,33.29,1.11,2009-02-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,33/7.1.3/0514,862053005,C09AA,S3,Zetomax,Lisinopril,10,mg,TAB,30,,39.20,5.29,6.23,50.72,1.69,2009-02-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,33/7.1.3/0515,862061008,C09AA,S3,Zetomax,Lisinopril,20,mg,TAB,30,,66.16,8.93,10.51,85.60,2.85,2009-02-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,37/7.1.3/0160,704597001,C09BA,S3,Zetomax-Co,Hydrochlorothiazide,13,mg,TAB,30,,45.08,6.09,7.16,58.33,1.94,2009-02-15,,,
,,,,,,,Lisinopril,10,mg,,,,,,,,,,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,37/7.1.3/0162,704598001,C09BA,S3,Zetomax-Co,Hydrochlorothiazide,13,mg,TAB,30,,75.22,10.15,11.95,97.33,3.24,2009-02-15,,,
,,,,,,,Lisinopril,20,mg,,,,,,,,,,,,
