Database Of Medicine Prices,,,,,,,,,,,,,,,,,,,,,
Applicants MCC Licence No,Applicant Name,Product MCC Registration No,Nappi Code,ATC 4 ,Schedule,Product Proprietary Name,Active Ingredients,Strength,Unit,Dosage Form,Pack Size,Quantity,Manufacturer Price,Logistics Fee,VAT,SEP,Unit Price,Effective Date,Status,Originator or Generic,12 Months Volume of Sales
985,Accord Healthcare (Pty) Ltd,41/11.4.3/0663,715885001,A02BC,S4,Accord Omeprazole 40mg Injection (100ml),Omeprazole,40,mg,INJ,1,,45.31,5.04,7.05,57.40,57.40,11 May 2012,,,
985,Accord Healthcare (Pty) Ltd,42/7.3/0356,715852001,N02CC,S4,Accord Sumatriptan 50 mg,Sumatriptan ,50,mg,TAB,2,,58.10,6.46,9.04,73.59,36.80,11 May 2012,,,
985,Accord Healthcare (Pty) Ltd,42/21.12/0324,715718001,L02BG,S4,Laradex,Letrozole,3,mg,TAB,30,,846.06,94.01,131.61,"1,071.68",35.72,11 May 2012,,,
985,Accord Healthcare (Pty) Ltd,42/21.12/0260,715720001,L02BG,S4,Stradexa,Anastrozole,1,mg,TAB,30,,778.50,86.50,121.10,986.10,32.87,31 August 2012,,,
985,Accord Healthcare (Pty) Ltd,42/7.3/0357,715853001,N02CC,S4,Accord Sumatriptan 100 mg,Sumatriptan,100,mg,TAB,4,,140.64,15.63,21.88,178.15,44.54,11 May 2012,,,
985,Accord Healthcare (Pty) Ltd,42/7.1.3/0326,715857001,C09DA,S3,Losaar Plus 100/25,Losartan Potassium ,100,mg,TAB,30,,65.18,7.24,10.14,82.56,2.75,11 May 2012,,,
985,Accord Healthcare (Pty) Ltd,42/21.12/0431,715705001,L02BB,S4,Accord Bicalutamide 50 mg,Bicalutamide,50,mg,TAB,30,,587.41,65.27,91.37,744.05,24.80,11 May 2012,,,
985,Accord Healthcare (Pty) Ltd,42/3.2/1016,715713001,M05BA,S4,Ostena 70,Alendronate Sodium,70,mg,TAB,4,,130.53,14.50,20.30,165.34,41.34,11 May 2012,,,
985,Accord-Healthcare (Pty) Ltd,42/2.6.5/0156,713967001,N05AX,S5,Rispacor 1 ,Risperidone,1,mg,TAB,30,,218.72,24.30,34.02,277.05,9.23,11 May 2012,,,
985,Accord-Healthcare (Pty) Ltd,41/7.1/0660,713972001,C08CA,S3,Amtas 10 ,Amlodipine Besilate,10,mg,TAB,30,,83.38,9.26,12.97,105.61,3.52,11 May 2012,,,
985,Accord-Healthcare (Pty) Ltd,42/2.6.5/0155,714101001,N05AX,S5,Rispacor 0.5,Risperidone,1,mg,TAB,30,,127.61,14.18,19.85,161.64,5.39,11 May 2012,,,
985,Accord-Healthcare (Pty) Ltd,41/21.2/0640,714426001,A10BA,S3,Accord Metformin 850,Metformin Hydrochloride,850,mg,TAB,60,,29.23,3.25,4.55,37.03,0.62,11 May 2012,,,
985,Accord-Healthcare (Pty) Ltd,41/21.2/0639,714427001,A10BA,S3,Accord Metformin 500,Metformin Hydrochloride,500,mg,TAB,100,,25.60,2.84,3.98,32.43,0.32,11 May 2012,,,
985,Accord Healthcare (Pty) Ltd,43/21.12/0056,716739001,G04CB,S4,Accord Finasteride 5 mg ,Finasteride,5,mg,TAB,30,,143.87,15.98,22.38,182.23,6.07,11 May 2012,,,
985,Accord Healthcare (Pty) Ltd,41/21.2/0658,716716001,A10BB,S3,Accord Glimepiride 4 mg,Glimepiride ,4,mg,TAB,30,,140.38,15.60,21.84,177.82,5.93,11 May 2012,,,
985,Accord Healthcare (Pty) Ltd,43/21.12/0058,716741001,G04CB,S4,Intas Finasteride 5 mg ,Finasteride,5,mg,TAB,30,,134.55,14.95,20.93,170.43,5.68,11 May 2012,,,
985,Accord Healthcare (Pty) Ltd,41/21.2/0657,716715001,A10BB,S3,Accord Glimepiride 2 mg,Glimepiride ,2,mg,TAB,30,,75.52,8.39,11.75,95.66,3.19,11 May 2012,,,
985,Accord Healthcare (Pty) Ltd,41/21.2/0656,716714001,A10BB,S3,Accord Glimepiride 1 mg,Glimepiride ,1,mg,TAB,30,,41.94,4.66,6.52,53.12,1.77,11 May 2012,,,
1064,Crux Pharmaceuticals (Pty) Ltd,41/26/1002,713432001,L01CA,S4,Accord-Vincristine 1mg/ml (2ml vial),vincristine sulfate,2,mg/2ml,INJ,1,,71.62,7.96,11.14,90.72,45.36,20 August 2012,,,
1064,Crux Pharmaceuticals (Pty) Ltd,41/26/0305,711328001,L01BA,S4,Methacor 25mg/ml,methotrexate,25,mg/ml,INJ,2,,17.68,1.96,2.75,22.40,11.20,20 August 2012,,,
1064,Crux Pharmaceuticals (Pty) Ltd,41/26/0246,711364001,L01BC,S4,Floracor 50mg/ml Injection,fluorouracil,50,mg/ml,INJ,5,,11.04,1.23,1.72,13.99,2.80,20 August 2012,,,
1064,Crux Pharmaceuticals (Pty) Ltd,41/26/0246,711366001,L01BC,S4,Floracor 50mg/ml Injection,fluorouracil,50,mg/ml,INJ,10,,22.10,2.46,3.44,27.99,2.80,20 August 2012,,,
1064,Crux Pharmaceuticals (Pty) Ltd,41/26/0435,711367001,L01XA,S4,Accord-Carboplatin 10mg/ml Injection,carboplatin,10,mg/ml,INJ,15,,203.91,22.66,31.72,258.29,17.22,20 August 2012,,,
1064,Crux Pharmaceuticals (Pty) Ltd,41/26/0435,711368001,L01XA,S4,Accord-Carboplatin 10mg/ml Injection,carboplatin,10,mg/ml,INJ,45,,611.76,67.97,95.16,774.89,17.22,20 August 2012,,,
985,Accord Healthcare (Pty) Ltd,42/5.10/0891,717049001,A04AA,S4,Alepet 4,Ondansetron ,4, mg/2ml,INJ,5,,63.19,7.02,9.83,80.04,8.00,11 May 2012,,,
985,Accord Healthcare (Pty) Ltd,44/26/0374,717008001,L01CD,S4,Paxitas 30,Paclitaxel,30,mg/5ml,INJ,1,,259.74,28.86,40.40,329.00,65.80,23 July 2012,,,
985,Accord Healthcare (Pty) Ltd,44/26/0375,717009001,L01CD,S4,Paxitas 100,Paclitaxel ,100,"mg/16,7ml",INJ,1,,867.53,96.39,134.95,"1,098.87",65.80,23 July 2012,,,
985,Accord Healthcare (Pty) Ltd,44/26/0376,717011001,L01CD,S4,Paxitas 300,Paclitaxel ,300,mg/50ml,INJ,1,,"2,597.40",288.60,404.04,"3,290.04",65.80,23 July 2012,,,
985,Accord Healthcare (Pty) Ltd,42/5.10/0892,717050001,A04AA,S4,Alepet 8,Ondansetron ,8, mg/4ml,INJ,5,,126.26,14.03,19.64,159.93,8.00,11 May 2012,,,
