Database Of Medicine Prices,,,,,,,,,,,,,,,,,,,,,
Applicants MCC Licence No,Applicant Name,MCC Medicine Reg. No.,Nappi Code,ATC 4 ,Medicine Schedule,Medicine Proprietary Name,Active Ingredients,Strength,Unit,Dosage Form,Pack Size,Quantity,Manufacturer Price,Logistics Fee,VAT,SEP,Unit Price,Effective Date,Status,Originator or Generic,12 Months Volume of Sales
0000001154,3M South Africa (Pty) Ltd,U/4/104,703312001,N01BA,S4,Xylestesin-A,Lidocaine hydochloride,20,mg/ml,INJ,50,1,161.09,26.42,26.25,213.76,4.28,27 March 2015,,Originator,
0000001154,3M South Africa (Pty) Ltd,,703312001,,,,Adrenaline,0,mg/ml,,,,,,,,,,,,
0000001154,3M South Africa (Pty) Ltd,A38/4/0430,710488001,N01BB,S4,Ubistesin,Articaine hydrochloride,40,mg/ml,INJ,50,1,195.86,32.12,31.92,259.89,5.20,27 March 2015,,Originator,
0000001154,3M South Africa (Pty) Ltd,,710488001,,,,Adrenaline,0,mg/ml,,,,,,,,,,,,
0000001154,3M South Africa (Pty) Ltd,A38/4/0431,710497001,N01BB,S4,Ubistesin Forte,Articaine hydrochloride,40,mg/ml,INJ,50,1,195.86,32.12,31.92,259.89,5.20,27 March 2015,,Originator,
0000001154,3M South Africa (Pty) Ltd,,710497001,,,,Adrenaline,0,mg/ml,,,,,,,,,,,,
0000000125,Abbott Laboratories SA Pty Ltd,35/7.1/0372,701855001,C09CA,S3,Teveten 600  ,Eprosartan,600,mg,TAB,28,1,191.45,19.00,29.46,239.92,8.57,03 November 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,36/21.8.2/0330,703107001,G03FA,S4,Femoston-Conti  ,Dydrogesterone,50,mg,TAB,28,1,154.49,16.86,23.99,195.34,6.98,03 November 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,36/21.8.2/0329,703108001,G03FA,S4,Femoston 1/10,Dydrogesterone,10,mg,TAB,28,1,154.51,16.84,23.99,195.34,6.98,03 November 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,X/20.1.1/229,704032001,J01FA,S4,Clacee 250mg,Clarithromycin,250,mg,TAB,10,1,64.52,11.39,10.63,86.54,8.65,31 March 2015,,Generic,
0000000125,Abbott Laboratories SA Pty Ltd,29/20.1.1/0163,704033001,J01FA,S4,Clacee 500mg,Clarithromycin,500,mg,TAB,10,1,68.26,12.04,11.24,91.54,9.15,31 March 2015,,Generic,
0000000125,Abbott Laboratories SA Pty Ltd,29/20.1.1/0163,704033002,J01FA,S4,Clacee 500mg,Clarithromycin,500,mg,TAB,14,1,95.56,16.86,15.74,128.16,9.15,31 March 2015,,Generic,
0000000125,Abbott Laboratories SA Pty Ltd,30/7.5/0494,705708001,C10AB,S3,Lipanthyl 200mg,Fenofibrate,200,mg,CAP,30,1,237.37,24.57,36.67,298.61,9.95,03 November 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,33/1.2/0354,706443001,N06AB,S5,Faverin 100,Fluvoxamine,100,mg,TAB,30,1,212.18,20.96,32.64,265.77,8.86,03 November 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,38/5.6/0040,707452002,N07CA,S3,Serc 24,Betahistine,24,mg,TAB,20,1,203.98,22.04,31.64,257.66,12.88,03 November 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,A38/7.1/0728,708096001,C09CA,S3,Teveten Plus ,Eprosartan,600,mg,TAB,28,1,196.52,18.44,30.09,245.06,8.75,03 November 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,A39/7.1.3/0531,708279001,C09AA,S3,Mavik (was Gopten) ,Trandolapril,4,mg,CAP,30,1,128.25,15.05,20.07,163.37,5.45,31 March 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,33/11.3/0027,710256001,A08AA,S5,Ectiva 10mg,Sibutramine hydrochloride,10,mg,CAP,30,1,153.00,27.00,25.20,205.20,6.84,31 March 2015,,Generic,
0000000125,Abbott Laboratories SA Pty Ltd,33/11.3/0028,710257001,A08AA,S5,Ectiva 15mg,Sibutramine hydrochloride,15,mg,CAP,30,1,178.50,31.50,29.40,239.40,7.98,31 March 2015,,Generic,
0000000125,Abbott Laboratories SA Pty Ltd,34/3.3/0178,710392001,R05CA,S2,Mucolator,Acetylcysteine,200,mg,SAC,30,1,38.45,5.87,6.20,50.52,1.68,31 March 2015,,Generic,
0000000125,Abbott Laboratories SA Pty Ltd,A/3.1/727,710822112,M01AE,S1,Brufen 200 ,Ibuprofen,200,mg,TAB,10,1,12.13,1.65,1.93,15.71,1.57,26 October 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,A/3.1/727,710822113,M01AE,S1,Brufen 200 ,Ibuprofen,200,mg,TAB,20,1,24.26,3.30,3.86,31.42,1.57,26 October 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,H/3.1/39,710830131,M01AE,S1,Brufen 400 Extra Strength,Ibuprofen,400,mg,TAB,10,1,19.81,2.69,3.15,25.66,2.57,26 October 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,R/3.1/71,710849109,M01AE,S3,Brufen ,Ibuprofen,600,mg,TAB,20,1,40.06,6.79,6.56,53.40,2.67,31 March 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,R/3.1/71,710849125,M01AE,S3,Brufen ,Ibuprofen,600,mg,TAB,100,1,201.68,31.82,32.69,266.19,2.66,31 March 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,Q/3.1/323,710857004,M01AE,S2,Brufen for children,Ibuprofen,100,mg/5ml,SUS,100,1,35.12,5.48,5.68,46.28,0.46,27 November 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,32/7.1.3/0136,712382001,C02AC,S3,"Cynt 0,2",Moxonidine,0,mg,TAB,28,1,146.46,15.20,22.63,184.28,6.58,03 November 2015,,Generic,
0000000125,Abbott Laboratories SA Pty Ltd,32/7.1.3/0136,712383001,C02AC,S3,"Cynt 0,4",Moxonidine,0,mg,TAB,28,1,146.23,15.42,22.63,184.28,6.58,03 November 2015,,Generic,
0000000125,Abbott Laboratories SA Pty Ltd,A39/7.1.3/0508,714624001,C09BB,S3,Tarka Bilayer,Verapamil HCl/Trandolapril,180,mg,TAB,30,1,259.97,30.46,40.66,331.10,11.04,31 March 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,A39/7.1.3/0547,714625001,C09BB,S3,Tarka Bilayer,Verapamil HCl/Trandolapril,240,mg,TAB,30,1,259.97,30.46,40.66,331.10,11.04,31 March 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,Q/11.2/165,715476009,A03AA,S2,Colofac 135 mg,Mebeverine,135,mg,TAB,20,1,41.51,6.53,6.72,54.76,2.74,03 November 2015,,Originator,
