Database Of Medicine Prices,,,,,,,,,,,,,,,,,,,,,
Applicants MCC Licence No,Applicant Name,MCC Medicine Reg. No.,Nappi Code,ATC 4 ,Medicine Schedule,Medicine Proprietary Name,Active Ingredients,Strength,Unit,Dosage Form,Pack Size,Quantity,Manufacturer Price,Logistics Fee,VAT,SEP,Unit Price,Effective Date,Status,Originator or Generic,12 Months Volume of Sales
0000001154,3M South Africa (Pty) Ltd,U/4/104,703312001,N01BA,S4,Xylestesin-A,Lidocaine hydrochloride,20,mg/ml,INJ,50,1,173.72,28.48,28.31,230.51,4.61,28 November 2016,,Originator,
,,,,,,,Adrenaline,0,mg/ml,,,,,,,,,,,,
0000001154,3M South Africa (Pty) Ltd,A38/4/0430,710488001,N01BB,S4,Ubistesin,Articaine hydrochloride,40,mg/ml,INJ,50,1,211.21,34.64,34.42,280.27,5.61,28 November 2016,,Originator,
,,,,,,,Adrenaline,0,mg/ml,,,,,,,,,,,,
0000001154,3M South Africa (Pty) Ltd,A38/4/0431,710497001,N01BB,S4,Ubistesin Forte,Articaine hydrochloride,40,mg/ml,INJ,50,1,211.21,34.64,34.42,280.27,5.61,28 November 2016,,Originator,
,,,,,,,Adrenaline,0,mg/ml,,,,,,,,,,,,
0000000125,Abbott Laboratories SA Pty Ltd,35/7.1/0372,701855001,C09CA,S3,Teveten 600  ,Eprosartan,600,mg,TAB,28,1,206.46,20.49,31.77,258.73,9.24,08 November 2016,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,36/21.8.2/0330,703107001,G03FA,S4,Femoston-Conti  ,Dydrogesterone,50,mg,TAB,28,1,166.60,18.18,25.87,210.65,7.52,08 November 2016,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,36/21.8.2/0329,703108001,G03FA,S4,Femoston 1/10,Dydrogesterone,10,mg,TAB,28,1,166.62,18.16,25.87,210.65,7.52,08 November 2016,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,X/20.1.1/229,704032001,J01FA,S4,Clacee 250mg,Clarithromycin,250,mg,TAB,10,1,69.58,12.28,11.46,93.32,9.33,08 November 2016,,Generic,
0000000125,Abbott Laboratories SA Pty Ltd,29/20.1.1/0163,704033001,J01FA,S4,Clacee 500mg,Clarithromycin,500,mg,TAB,10,1,73.61,12.98,12.12,98.72,9.87,08 November 2016,,Generic,
0000000125,Abbott Laboratories SA Pty Ltd,29/20.1.1/0163,704033002,J01FA,S4,Clacee 500mg,Clarithromycin,500,mg,TAB,14,1,103.05,18.18,16.97,138.21,9.87,08 November 2016,,Generic,
0000000125,Abbott Laboratories SA Pty Ltd,30/7.5/0494,705708001,C10AB,S3,Lipanthyl 200mg,Fenofibrate,200,mg,CAP,30,1,255.98,26.50,39.55,322.02,10.73,08 November 2016,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,33/1.2/0354,706443001,N06AB,S5,Faverin 100,Fluvoxamine,100,mg,TAB,30,1,228.81,22.60,35.20,286.60,9.55,08 November 2016,,Originator,
