applicant_name,applicant_licence_no,regno,nappi_code,name,schedule,dosage_form,pack_size,is_generic,num_packs,equivalence_key,sep,effective_date
Key Oncologics (Pty) Ltd,474.0,a40/26/0352,713679001,"Doxorubicin ""Ebewe"" 10Mg (5Ml Vial)",S4,Sol,1,Generic,1,,70.71,2009-11-27
Ingelheim Pharmaceuticals (Pty) Ltd,173.0,33/7.1.3/0022,714249001,Pritor 40 Mg,S 3,Tab,28,Originator,1,,161.52,2016-01-29
Ingelheim Pharmaceuticals (Pty) Ltd,173.0,36/10.2.1/0044,702526003,Spiriva,S3,Cps,30,Originator,1,,671.8,2016-01-29
Hetero Drugs South Africa,1102.0,43/20.2.8/0230,717003001,Nevivir,S4,Tab,60,Generic,1,,238.69,2016-02-01
Hetero Drugs South Africa,1102.0,43/20.2.8/0363,715591001,Hevaz 600,S4,Tab,30,Generic,1,,200.99,2016-02-01
Gulf Drug Company (Pty) Ltd,699.0,28/20.2/0378,894842013,Doctrim Suspension,S4,Sus,100,Generic,1,,8.36,2015-03-30
Gulf Drug Company (Pty) Ltd,699.0,28/20.2/0378,894842005,Doctrim Suspension,S4,Sus,50,Generic,1,,4.17,2015-03-30
Gulf Drug Company (Pty) Ltd,699.0,b/2.7/1644,894212006,Jp Paracetamol,S1,Tab,1000,Generic,1,,124.95,2015-03-30
Gulf Drug Company (Pty) Ltd,699.0,z/20.1.1/0246,884167003,Nucotet,S4,Cap,1000,Generic,1,,145.24,2015-03-30
Gulf Drug Company (Pty) Ltd,699.0,28/20.2.2/0418,878448004,Gynezol,S1,Vcr,50,Generic,1,,18.31,2015-03-30
Gulf Drug Company (Pty) Ltd,699.0,28/20.2.2/0419,878421009,Clomaderm,S1,Cre,20,Generic,1,,6.68,2015-03-30
Gulf Drug Company (Pty) Ltd,699.0,29/3.1/0727,868221007,Ibunate 200Mg Tablets,S3,Fct,1000,Generic,1,,119.77,2015-03-30
Gulf Drug Company (Pty) Ltd,699.0,27/3.1/0136,868213012,Gulf Indomethacin 25,S3,Cap,1000,Generic,1,,132.38,2015-03-30
Gulf Drug Company (Pty) Ltd,699.0,z/20.2/0026,867977027,Nucotrim,S4,Tab,1000,Generic,1,,143.25,2015-03-30
Gulf Drug Company (Pty) Ltd,699.0,27/2.7/0138,867969024,Painblok,S1,Tab,100,Generic,1,,19.05,2015-03-30
Gulf Drug Company (Pty) Ltd,699.0,28/2.7/0511,867950021,Gulf Paracetamol,S1,Tab,1000,Generic,1,,101.99,2015-03-30
Gulf Drug Company (Pty) Ltd,699.0,g3093(act 101 of 1965),818267038,Trolic,S4,Tab,1000,Generic,1,,119.77,2015-03-30
Gulf Drug Company (Pty) Ltd,699.0,28/5.2/0420,806552034,Indoblok 10,S3,Tab,1000,Generic,1,,88.93,2015-03-30
Gulf Drug Company (Pty) Ltd,699.0,b/2.8/1473,795402007,Kodapon,S2,Tab,1000,Generic,1,,383.3,2015-03-30
Gulf Drug Company (Pty) Ltd,699.0,41/20.1.1/0976,719683001,Racemin 250,S4,Tab,100,Generic,1,,128.68,2015-03-30
Gulf Drug Company (Pty) Ltd,699.0,42/20.1.1/0972,719677001,"Gulf Vancomycin 1,0 G",S4,Poi,20,Generic,10,,1715.7,2015-03-30
Gulf Drug Company (Pty) Ltd,699.0,42/20.1.1/0971,719675001,"Gulf Vancomycin 0,5 G",S4,Poi,10,Generic,10,,857.85,2015-03-30
Gulf Drug Company (Pty) Ltd,699.0,42/2.6.5/0065,719549001,Gulf Haloperidol 5,S5,Tab,100,Generic,1,,98.04,2015-03-30
Gulf Drug Company (Pty) Ltd,699.0,43/5.4.1/0135,719545001,"Oxpola 1,0 Mg",S4,Tab,100,Generic,1,,1029.68,2015-03-30
Gulf Drug Company (Pty) Ltd,699.0,43/5.4.1/0133,719543001,"Oxpola 0,25 Mg",S4,Tab,100,Generic,1,,312.79,2015-03-30
Gulf Drug Company (Pty) Ltd,699.0,43/5.4.1/0134,719542001,"Oxpola 0,125 Mg",S4,Tab,100,Generic,1,,256.74,2015-03-30
Gulf Drug Company (Pty) Ltd,699.0,a40/1.2/0605,718746001,Gulf Amitriptyline 25,S5,Tab,500,Generic,1,,271.04,2015-03-30
Gulf Drug Company (Pty) Ltd,699.0,41/20.1.1/0646,717566001,Gulf Cefuroxime 750,S4,Inj,10,Generic,10,,209.23,2015-03-30
Gulf Drug Company (Pty) Ltd,699.0,41/20.1.1/0524,717562001,Gulf Ceftriaxone 1G,S4,Inj,10,Generic,10,,150.92,2015-03-30
Gulf Drug Company (Pty) Ltd,699.0,41/5.2/0004,715626001,Gulf Atenolol 100,S3,Fct,28,Generic,1,,30.11,2015-03-30
Gulf Drug Company (Pty) Ltd,699.0,41/5.2/0005,715625001,Gulf Atenolol 50,S3,Fct,28,Generic,1,,17.71,2015-03-30
Gulf Drug Company (Pty) Ltd,699.0,41 / 5.7.1 / 0119,713908002,Lormeg 10,S2,Tab,30,Generic,1,,47.41,2015-03-30
Gulf Drug Company (Pty) Ltd,699.0,41 / 5.7.1 / 0119,713908001,Lormeg 10,S2,Tab,10,Generic,1,,15.8,2015-03-30
Gulf Drug Company (Pty) Ltd,699.0,41/20.2.2/0107,713557001,Gulf Fluconazole 200,S4,Cap,28,Generic,1,,359.62,2015-03-30
Gulf Drug Company (Pty) Ltd,699.0,41/20.2.2/0124,713556001,Gulf Fluconazole 150,S4,Cap,1,Generic,1,,19.36,2015-03-30
Gulf Drug Company (Pty) Ltd,699.0,41/20.2.2/0240,713555001,Gulf Fluconazole 50,S4,Cap,14,Generic,1,,98.14,2015-03-30
Gulf Drug Company (Pty) Ltd,699.0,a40/11.4.3/0415,713554001,Gulf Ranitidine 300,S3,Fct,30,Generic,1,,47.67,2015-03-30
Gulf Drug Company (Pty) Ltd,699.0,a40/11.4.3/0663,713553001,Gulf Ranitidine 150,S3,Fct,60,Generic,1,,55.49,2015-03-30
Gulf Drug Company (Pty) Ltd,699.0,41/8.1/0813,712954001,Gulf Amlodipine 10,S3,Tab,30,Generic,1,,67.4,2015-03-30
Gulf Drug Company (Pty) Ltd,699.0,41/8.1/0812,712953001,Gulf Amlodipine 5,S3,Tab,30,Generic,1,,37.99,2015-03-30
Gulf Drug Company (Pty) Ltd,699.0,a38/21.2/0560,707587001,Glycobeta,S3,Tab,60,Generic,1,,60.32,2015-03-30
Gulf Drug Company (Pty) Ltd,699.0,37/20.1.1/0618,706327001,Belex 500,S4,Cap,100,Generic,1,,123.37,2015-03-30
Gulf Drug Company (Pty) Ltd,699.0,37/20.1.1/0617,706326001,Belex 250,S4,Fct,500,Generic,1,,299.42,2015-03-30
Gulf Drug Company (Pty) Ltd,699.0,37/3.1/0641,706314001,Difen Sr,S3,Srt,30,Generic,1,,90.73,2015-03-30
Gulf Drug Company (Pty) Ltd,699.0,37/20.1.2/0466,704401001,Amoxicap 250,S4,Cap,500,Generic,1,,157.89,2015-03-30
Gulf Drug Company (Pty) Ltd,699.0,27/3.1/0059,701072001,Roxifen,S3,Cap,30,Generic,1,,23.67,2015-03-30
Glenmark Pharmaceuticals South Africa (Pty) Ltd,297.0,z/3.1/377,895196006,Iboflam,S3,Tab,1000,Generic,1,,249.04,2015-04-17
Glenmark Pharmaceuticals South Africa (Pty) Ltd,297.0,s/20.2.6/251,779822014,Metrazole,S4,Tab,1000,Generic,1,,196.63,2015-04-17
Glenmark Pharmaceuticals South Africa (Pty) Ltd,297.0,b/13.4.1/133,768294002,Synalar Gel,S4,Jel,30,Originator,1,,138.76,2015-04-17
Glenmark Pharmaceuticals South Africa (Pty) Ltd,297.0,g1401(act 101/1965),768286018,Synalar,S4,Oin,15,Originator,1,,60.03,2015-04-17
Glenmark Pharmaceuticals South Africa (Pty) Ltd,297.0,g1400 (act 101/1965),768278007,Synalar,S4,Cre,15,Originator,1,,60.03,2015-04-17
Glenmark Pharmaceuticals South Africa (Pty) Ltd,297.0,g1390 (act 101/1965),730858065,Hibitane(Obstetric Cream),S2,Cre,250,Originator,1,,91.96,2015-04-17
Glenmark Pharmaceuticals South Africa (Pty) Ltd,297.0,44/10.2.2/0914,718310001,Glenmont 10,S3,Tab,28,Generic,1,,182.6,2015-04-17
Glenmark Pharmaceuticals South Africa (Pty) Ltd,297.0,44/10.2.2/0913,718309001,Glenmont 5,S3,Chu,28,Generic,1,,182.6,2015-04-17
Glenmark Pharmaceuticals South Africa (Pty) Ltd,297.0,44/10.2.2/0912,718308001,Glenmont 4,S3,Chu,28,Generic,1,,182.6,2015-04-17
Glenmark Pharmaceuticals South Africa (Pty) Ltd,297.0,43/20.1.6/0680,715837003,Supiroban,S2,Oin,14,Generic,1,,47.88,2015-11-05
Glenmark Pharmaceuticals South Africa (Pty) Ltd,297.0,43/20.1.6/0680,715837002,Supiroban,S2,Oin,50,Generic,1,,171,2015-11-05
Glaxosmithkline South Africa (Pty) Ltd,1200.0,33/20.2.8/0464,898531003,Ziagen Tablets,S4,Tab,60,Originator,1,,1182.18,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,32/30.1/0468,892939001,Varilrix,S4,Vac,1,Originator,1,,317.29,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,32/2.5/0460,891716002,Lamictin P200,S3,Dsp,60,Originator,1,,659.2,2015-03-30
